loan_id, customer_id, disbursed_date, purpose         , amount_pkr, term_months, interest_rate_pct, inflow_to_loan_ratio, defaulted
L500038, C111678    , 2025-02-15    , device_finance  , 18335.0   ,           6, 24.8%            ,                 0.38, False
L500039, C108500    , 2025-01-01    , merchant_advance, 202105.0  ,           1, 32.5             ,                 4.53, True
L500040, C114043    , 2025-02-11    , merchant_advance, 132340.0  ,          12, 31.4             ,                 6.27, True
L500041, C113243    , 2025-03-20    , merchant_advance, 164832.0  ,           3, 21.1             ,                 3.52, False
L500042, C107145    , 2024-12-03    , nano_loan       , 15077.0   ,           1, 21.3             ,                 0.66, False
L500043, C107088    , 2024-10-25    , nano_loan       , 21615.0   ,           1, 19.8             ,                 0.87, False
L500044, C112725    , 2024-08-30    , nano_loan       , 24059.0   ,           6, 29.4             ,                 0.53, False
L500045, C101131    , 01/01/2025    , nano_loan       , 17520.0   ,           6, 22.8             ,                 0.38, False
L500046, C110792    , 2024-09-04    , nano_loan       , 15591.0   ,           1, 26.6%            ,                 0.49, False
L500047, C110759    , 2024-07-07    , merchant_advance, 378065.0  ,           1, 32.7             ,                 8.25, True
L500048, C105973    , 2024-11-21    , nano_loan       , 11476.0   ,           6, 25.7             ,                 0.45, False
L500049, C101153    , 2024-11-19    , merchant_advance, 205399.0  ,           6, 20.3             ,                12.92, True
L500050, C108563    , 2025-03-02    , device_finance  , 104523.0  ,           3, 18.3             ,                 2.26, False
L500051, C110747    , 2024-09-21    , nano_loan       , 23667.0   ,           3, 32.3%            ,                 0.64, False
L500052, C106799    , 2025-05-15    , emergency       , 46403.0   ,           3, 21.5             ,                 1.86, False
L500053, C110901    , 2025-05-26    , nano_loan       , 16329.0   ,           1, 27.0             ,                 0.42, False
L500054, C103060    , 2024-07-30    , nano_loan       , 9921.0    ,           1, 31.6             ,                 0.34, False
L500055, C112057    , 2024-11-04    , nano_loan       , 22029.0   ,           1, 28.7             ,                 0.9 , False
L500056, C108106    , 30/01/2025    , device_finance  , 35276.0   ,           3, 25.2             ,                 0.9 , False
L500057, C108023    , 2024-11-28    , merchant_advance, 226492.0  ,           3, 22.8             ,                 6.42, True
L500058, C102312    , 2024-10-09    , nano_loan       , 12813.0   ,           1, 24.0             ,                 0.21, False
L500059, C113295    , 19/04/2025    , nano_loan       , 18647.0   ,           3, 20.1             ,                 1.0 , False
L500060, C110772    , 2025-05-04    , merchant_advance, 104223.0  ,           6, 24.2             ,                 4.42, False
L500061, C100303    , 2025-03-31    , merchant_advance, 76267.0   ,           6, 35.3             ,                 0.44, False
L500062, C104692    , 2024-08-20    , emergency       , 8070.0    ,           1, 23.6             ,                 0.34, False
L500063, C114591    , 09/03/2025    , nano_loan       , 15960.0   ,           1, 30.5             ,                 0.57, False
L500064, C101223    , 2025-04-05    , merchant_advance, 284227.0  ,           1, 33.4             ,                 9.32, False
L500065, C107378    , 2025-05-04    , emergency       , 15174.0   ,           1, 34.5             ,                 0.75, False
L500066, C106150    , 2024-08-31    , merchant_advance, 39021.0   ,          12, 35.6             ,                 4.88, False
L500067, C109729    , 2025-05-05    , merchant_advance, 91407.0   ,           6, 20.8             ,                 6.98, False
L500068, C112906    , 2024-07-03    , nano_loan       , 4145.0    ,          12, 27.9%            ,                 0.3 , False
L500069, C107517    , 2024-10-30    , device_finance  , 74387.0   ,           1, 23.1             ,                 2.71, False
L500070, C109015    , 05/12/2024    , nano_loan       , 4777.0    ,           1, 27.8             ,                 0.13, False
L500071, C105179    , 04/07/2024    , merchant_advance, 398652.0  ,           3, 32.3%            ,                15.69, False
L500072, C108518    , 2025-01-14    , device_finance  , 77150.0   ,           3, 30.1             ,                 2.19, False
L500073, C109660    , 2025-01-31    , nano_loan       , 7174.0    ,          12, 30.0             ,                 0.32, False
L500074, C104296    , 2024-11-09    , nano_loan       , 3132.0    ,          12, 24.1             ,                 0.11, False
L500075, C113445    , 2024-09-21    , nano_loan       , 20804.0   ,           1, 32.1             ,                 0.92, False
L500076, C103654    , 04/07/2024    , nano_loan       , 8670.0    ,           1, 34.6             ,                 0.61, False
L500077, C105602    , 29/09/2024    , emergency       , 13703.0   ,           3, 24.7             ,                 0.41, False
L500078, C114324    , 2025-02-17    , device_finance  , 119596.0  ,           6, 33.6%            ,                 6.01, True
L500079, C109118    , 16/05/2025    , merchant_advance, 81994.0   ,           3, 19.5             ,                 0.74, False
L500080, C114325    , 2024-11-26    , nano_loan       , 20694.0   ,           6, 19.6             ,                 0.63, False
L500081, C102424    , 2024-08-12    , merchant_advance, 314918.0  ,           1, 27.7             ,                 8.29, False
L500082, C110924    , 16/03/2025    , nano_loan       , 6742.0    ,           3, 27.4%            ,                 0.1 , False
L500083, C101404    , 2025-02-13    , device_finance  , 70440.0   ,           3, 30.9             ,                 3.69, False
L500084, C113486    , 02/10/2024    , emergency       , 27023.0   ,          12, 30.2%            ,                 0.37, False
L500085, C112333    , 2024-07-27    , device_finance  , 19681.0   ,           1, 23.8             ,                 0.31, False
L500086, C110626    , 2024-11-04    , nano_loan       , 23150.0   ,           6, 19.1             ,                 0.63, False
L500087, C108919    , 2025-02-12    , nano_loan       , 16634.0   ,           6, 21.4             ,                 0.93, False
L500088, C103188    , 23/04/2025    , device_finance  , 77820.0   ,           6, 30.3             ,                 3.46, False
L500089, C104827    , 06/07/2024    , emergency       , 21492.0   ,           6, 32.8%            ,                 0.68, False
L500090, C105805    , 2024-11-14    , nano_loan       , 19042.0   ,           3, 29.0             ,                 0.44, False
L500091, C103934    , 18/08/2024    , emergency       , 37383.0   ,           6, 32.7%            ,                 0.88, False
L500092, C110424    , 2025-01-17    , device_finance  , 72200.0   ,           6, 21.9             ,                 2.2 , False
L500093, C109284    , 2025-02-28    , device_finance  , 112242.0  ,           6, 33.2%            ,                 2.08, False
L500094, C113256    , 2024-07-13    , nano_loan       , 21435.0   ,           6, 30.5%            ,                 0.92, False
L500095, C109553    , 2024-09-18    , nano_loan       , 13996.0   ,           6, 22.1             ,                 0.59, False
L500096, C113334    , 2025-02-10    , nano_loan       , 10997.0   ,           3, 33.2%            ,                 0.27, False
L500097, C114686    , 2024-11-15    , merchant_advance, 112580.0  ,           6, 27.6             ,                 0.96, False
L500098, C107147    , 05/01/2025    , device_finance  , 71631.0   ,           3, 29.4             ,                 1.33, False
L500099, C100138    , 2024-12-16    , nano_loan       , 15154.0   ,           3, 27.0             ,                 0.95, False
L500100, C112067    , 2024-11-19    , nano_loan       , 21699.0   ,           3, 23.7             ,                 0.88, True
L500101, C113111    , 2024-09-27    , nano_loan       , 18051.0   ,           3, 23.0             ,                 0.27, False
L500102, C106343    , 02/08/2024    , nano_loan       , 11437.0   ,           3, 22.7%            ,                 0.15, False
L500103, C107616    , 2025-02-08    , merchant_advance, 229749.0  ,           3, 30.0%            ,                 7.16, True
L500104, C108732    , 2025-05-16    , nano_loan       , 2491.0    ,           3, 24.5%            ,                 0.04, False
L500105, C101757    , 2025-04-06    , nano_loan       , 22419.0   ,           1, 27.1             ,                 0.31, False
L500106, C112396    , 30/11/2024    , merchant_advance, 258280.0  ,           1, 23.8             ,                11.85, True
L500107, C103564    , 2024-10-23    , emergency       , 32601.0   ,           6, 33.5%            ,                 0.57, False
L500108, C107623    , 2024-07-03    , nano_loan       , 6215.0    ,           6, 18.2%            ,                 0.18, False
L500109, C105989    , 2025-01-07    , merchant_advance, 231090.0  ,           3, 34.9             ,                 1.49, False
L500110, C113613    , 2024-07-07    , nano_loan       , 17786.0   ,           3, 35.2             ,                 1.09, False
L500111, C113002    , 2025-01-01    , nano_loan       , 4019.0    ,           1, 35.6             ,                 0.11, False
L500112, C114280    , 2024-11-14    , nano_loan       , 4146.0    ,           3, 32.3             ,                 0.27, False
L500113, C106196    , 16/11/2024    , emergency       , 22102.0   ,           1, 29.0%            ,                 2.38, False
L500114, C103139    , 2025-01-12    , nano_loan       , 6728.0    ,           3, 19.2             ,                 0.15, False
L500115, C107282    , 2025-05-23    , merchant_advance, 302951.0  ,           6, 29.4             ,                15.78, False
L500116, C109784    , 2025-01-15    , merchant_advance, 54179.0   ,           3, 24.0             ,                 2.24, False
L500117, C105070    , 2025-05-08    , emergency       , 35227.0   ,           1, 21.0             ,                 0.63, False
L500118, C101228    , 2024-09-21    , nano_loan       , 14726.0   ,           6, 33.3%            ,                 1.57, False
L500119, C102556    , 2025-02-12    , device_finance  , 116764.0  ,          12, 33.7             ,                 5.64, True
L500120, C111097    , 2024-09-30    , merchant_advance, 295479.0  ,           3, 27.5             ,                13.31, True
L500121, C110638    , 20/08/2024    , nano_loan       , 22513.0   ,           6, 24.5             ,                 1.11, False
L500122, C104049    , 2024-08-21    , nano_loan       , 3829.0    ,           6, 24.9             ,                 0.15, False
L500123, C100521    , 2025-03-10    , nano_loan       , 2961.0    ,           3, 19.3             ,                 0.1 , False
L500124, C102376    , 09/12/2024    , merchant_advance, 218291.0  ,           1, 34.2             ,                 3.57, True
L500125, C111725    , 2025-05-03    , device_finance  , 85394.0   ,           3, 23.8             ,                 4.96, True
L500126, C101610    , 2025-01-31    , merchant_advance, 241873.0  ,           6, 25.2%            ,                 6.59, True
L500127, C112615    , 2025-04-27    , device_finance  , 89865.0   ,           1, 33.2%            ,                 1.95, False
L500128, C112033    , 2025-01-09    , nano_loan       , 13434.0   ,           1, 27.6%            ,                 0.99, False
L500129, C112574    , 2024-11-28    , merchant_advance, 192894.0  ,           6, 32.1%            ,                 4.85, True
L500130, C103647    , 2025-01-19    , merchant_advance, 226215.0  ,          12, 34.5             ,                 5.04, True
L500131, C103121    , 2024-09-05    , nano_loan       , 20357.0   ,           3, 32.5             ,                 1.34, False
L500132, C113731    , 2024-10-09    , nano_loan       , 22901.0   ,           1, 31.1             ,                 0.58, False
L500133, C110927    , 2024-12-12    , nano_loan       , 3194.0    ,           6, 30.2             ,                 0.05, False
L500134, C100532    , 2024-08-05    , nano_loan       , 17975.0   ,           6, 32.7             ,                 1.52, False
L500135, C112009    , 2024-10-17    , nano_loan       , 3409.0    ,           1, 34.4%            ,                 0.1 , False
L500136, C107504    , 2024-07-29    , device_finance  , 106521.0  ,           6, 23.5             ,                 2.11, False
L500137, C109160    , 2024-09-10    , device_finance  , 119297.0  ,           1, 19.0%            ,                 1.67, False
L500138, C108068    , 2025-02-04    , nano_loan       , 20902.0   ,           6, 18.1             ,                 0.61, False
L500139, C107044    , 2025-03-14    , emergency       , 7961.0    ,           1, 21.4             ,                 0.25, False
L500140, C105779    , 2025-04-17    , nano_loan       , 24557.0   ,           1, 22.0%            ,                 0.55, False
L500141, C101015    , 24/01/2025    , merchant_advance, 199727.0  ,           1, 22.9%            ,                 4.14, True
L500142, C107984    , 2025-05-04    , nano_loan       , 16978.0   ,           3, 21.1             ,                 0.93, False
L500143, C108781    , 2025-03-02    , nano_loan       , 19989.0   ,           6, 24.6             ,                 0.15, False
L500144, C104823    , 2025-04-18    , nano_loan       , 13914.0   ,           1, 34.1%            ,                 1.6 , False
L500145, C104299    , 2024-08-21    , nano_loan       , 22611.0   ,           1, 29.7             ,                 0.67, False
L500146, C105284    , 2024-09-26    , nano_loan       , 20038.0   ,           3, 27.3%            ,                 0.48, False
L500147, C101512    , 27/10/2024    , merchant_advance, 228518.0  ,          12, 20.9             ,                11.09, False
L500148, C113950    , 2024-12-16    , nano_loan       , 10408.0   ,           3, 29.2             ,                 0.31, False
L500149, C114408    , 24/12/2024    , merchant_advance, 185197.0  ,           1, 20.9%            ,                 8.53, False
L500150, C100608    , 06/02/2025    , nano_loan       , 14052.0   ,           3, 21.5%            ,                 1.12, False
L500151, C114107    , 2024-11-24    , nano_loan       , 14088.0   ,           6, 19.0             ,                 0.63, False
L500152, C101823    , 2024-11-25    , merchant_advance, 66280.0   ,           6, 28.5%            ,                 0.95, False
L500153, C114551    , 2025-01-10    , nano_loan       , 4099.0    ,           3, 19.2%            ,                 0.09, False
L500154, C109528    , 2024-09-27    , nano_loan       , 19895.0   ,           3, 33.8             ,                 1.1 , False
L500155, C103357    , 2024-11-14    , device_finance  , 114902.0  ,           1, 18.9             ,                 7.87, True
L500156, C103820    , 2024-11-03    , nano_loan       , 14522.0   ,          12, 29.1             ,                 0.39, False
L500157, C114159    , 07/03/2025    , nano_loan       , 12261.0   ,           3, 33.0             ,                 0.44, False
L500158, C109787    , 2025-01-13    , nano_loan       , 3456.0    ,           3, 19.6%            ,                 0.08, False
L500159, C105649    , 2025-04-13    , nano_loan       , 18076.0   ,           3, 22.9%            ,                 0.79, False
L500160, C108788    , 2024-07-16    , merchant_advance, 98508.0   ,           6, 30.9             ,                 2.97, True
L500161, C101754    , 2025-02-17    , nano_loan       , 7658.0    ,           3, 22.6             ,                 0.12, False
L500162, C114545    , 07/03/2025    , emergency       , 22500.0   ,           3, 25.3%            ,                 0.99, False
L500163, C112713    , 2025-04-13    , nano_loan       , 16836.0   ,           1, 18.4             ,                 1.34, False
L500164, C111788    , 2024-08-20    , nano_loan       , 12077.0   ,           1, 34.5             ,                 0.33, False
L500165, C104606    , 2024-07-08    , nano_loan       , 14548.0   ,           1, 27.4%            ,                 0.47, False
L500166, C108985    , 2024-11-07    , nano_loan       , 5272.0    ,           6, 24.3%            ,                 0.07, False
L500167, C111291    , 2024-08-30    , nano_loan       , 6626.0    ,           1, 21.1             ,                 0.24, False
L500168, C106854    , 09/02/2025    , nano_loan       , 13410.0   ,          12, 30.7%            ,                 0.08, False
L500169, C113210    , 2024-12-21    , merchant_advance, 121942.0  ,           1, 30.6             ,                 2.59, False
L500170, C104560    , 2024-09-11    , merchant_advance, 68043.0   ,           3, 25.3             ,                 2.34, True
L500171, C103058    , 2024-08-15    , device_finance  , 34494.0   ,           6, 32.7             ,                 2.43, False
L500172, C113572    , 2025-03-23    , nano_loan       , 7046.0    ,           1, 19.4             ,                 0.37, False
L500173, C107795    , 2024-12-12    , nano_loan       , 4239.0    ,           6, 19.3             ,                 0.22, False
L500174, C109546    , 15/03/2025    , device_finance  , 103692.0  ,          12, 23.3             ,                 2.05, False
L500175, C102337    , 2025-05-08    , device_finance  , 65903.0   ,           6, 27.3             ,                 0.95, False
L500176, C101862    , 2024-07-17    , device_finance  , 76026.0   ,           1, 32.2             ,                 1.49, False
L500177, C101060    , 04/10/2024    , nano_loan       , 9724.0    ,           3, 35.0             ,                 0.35, False
L500178, C107439    , 2025-03-05    , merchant_advance, 301970.0  ,           3, 35.6             ,                 6.91, True
L500179, C105515    , 2024-08-12    , nano_loan       , 6374.0    ,           1, 33.5             ,                 0.09, False
L500180, C111149    , 2024-12-08    , emergency       , 9120.0    ,           3, 19.9             ,                 0.26, False
L500181, C103782    , 11/08/2024    , nano_loan       , 4659.0    ,           1, 31.3             ,                 0.19, False
L500182, C106978    , 2025-04-28    , merchant_advance, 235727.0  ,           6, 27.7             ,                17.72, True
L500183, C100489    , 2025-04-02    , merchant_advance, 388600.0  ,          12, 20.8%            ,                13.4 , True
L500184, C105258    , 2025-02-02    , merchant_advance, 176161.0  ,           6, 33.7%            ,                 2.17, False
L500185, C106266    , 2025-04-10    , device_finance  , 92879.0   ,           1, 25.7             ,                 3.48, False
L500186, C113319    , 2025-03-05    , device_finance  , 117789.0  ,           6, 33.4             ,                 1.3 , False
L500187, C101215    , 2025-05-20    , device_finance  , 89552.0   ,           6, 21.7             ,                 1.51, False
L500188, C102335    , 2024-10-24    , merchant_advance, 260387.0  ,           3, 25.1             ,                 7.29, False
L500189, C108249    , 27/07/2024    , merchant_advance, 377201.0  ,           6, 31.1             ,                 5.68, True
L500190, C100435    , 19/12/2024    , merchant_advance, 354942.0  ,          12, 28.6             ,                12.54, True
L500191, C101354    , 2024-07-16    , nano_loan       , 10857.0   ,           1, 30.1%            ,                 0.34, False
L500192, C111918    , 2024-07-05    , emergency       , 8191.0    ,           1, 21.4             ,                 0.19, False
L500193, C100948    , 23/12/2024    , merchant_advance, 118661.0  ,           3, 24.7%            ,                 3.73, False
L500194, C107661    , 2024-10-03    , nano_loan       , 3482.0    ,           6, 27.2             ,                 0.13, False
L500195, C105701    , 2025-04-06    , emergency       , 5871.0    ,           6, 33.2             ,                 0.23, False
L500196, C105726    , 2024-08-21    , nano_loan       , 10884.0   ,           1, 19.1             ,                 0.24, False
L500197, C110667    , 22/10/2024    , nano_loan       , 21355.0   ,           6, 28.9             ,                 0.6 , False
L500198, C101552    , 2024-12-29    , nano_loan       , 21747.0   ,           1, 24.1             ,                 0.91, False
L500199, C109662    , 2024-12-11    , merchant_advance, 183024.0  ,           6, 31.4%            ,                 4.33, True
L500200, C107465    , 2024-09-07    , nano_loan       , 11215.0   ,           1, 19.7             ,                 0.42, False
L500201, C105164    , 2025-02-13    , nano_loan       , 15006.0   ,           6, 20.3%            ,                 0.9 , False
L500202, C105215    , 2025-03-26    , emergency       , 24809.0   ,           1, 29.7%            ,                 1.04, False
L500203, C111735    , 2024-07-13    , device_finance  , 107040.0  ,           1, 29.0             ,                 2.6 , False
L500204, C110352    , 2025-03-19    , nano_loan       , 10256.0   ,           1, 32.3             ,                 0.17, False
L500205, C107184    , 2025-05-23    , nano_loan       , 19958.0   ,          12, 22.2             ,                 0.43, False
L500206, C104462    , 2024-10-18    , merchant_advance, 275212.0  ,           6, 32.5             ,                11.37, False
L500207, C100624    , 2024-10-22    , device_finance  , 93717.0   ,           1, 24.6             ,                 5.24, True
L500208, C112987    , 2024-12-16    , device_finance  , 66386.0   ,           1, 20.8             ,                 5.93, False
L500209, C104192    , 2025-02-03    , emergency       , 13258.0   ,           1, 19.2             ,                 0.15, False
L500210, C111528    , 2024-10-13    , emergency       , 17131.0   ,           3, 28.7             ,                 0.84, False
L500211, C108821    , 2025-05-19    , nano_loan       , 11118.0   ,           3, 21.4%            ,                 0.21, False
L500212, C101810    , 21/03/2025    , merchant_advance, 180738.0  ,          12, 27.0             ,                 2.72, False
L500213, C106282    , 2025-02-13    , merchant_advance, 58808.0   ,           3, 33.2             ,                 3.79, False
L500214, C103867    , 2024-08-20    , merchant_advance, 199127.0  ,           1, 25.1             ,                18.44, True
L500215, C104042    , 2024-09-20    , nano_loan       , 9010.0    ,           3, 32.5             ,                 0.17, False
L500216, C103505    , 2024-12-19    , emergency       , 25877.0   ,           6, 30.8             ,                 0.2 , False
L500217, C113732    , 2025-02-16    , nano_loan       , 21287.0   ,           1, 25.7%            ,                 1.54, False
L500218, C114367    , 2024-11-03    , nano_loan       , 18566.0   ,           1, 32.8%            ,                 0.61, False
L500219, C113412    , 2024-09-14    , nano_loan       , 9990.0    ,           3, 18.6%            ,                 0.46, False
L500220, C101596    , 2024-11-03    , emergency       , 14460.0   ,          12, 20.2             ,                 0.3 , False
L500221, C100518    , 2024-12-16    , device_finance  , 37266.0   ,           1, 22.9             ,                 0.62, False
L500222, C107362    , 2025-03-24    , emergency       , 12106.0   ,           3, 24.5             ,                 0.26, False
L500223, C101663    , 2024-09-09    , emergency       , 33250.0   ,           6, 31.1             ,                 0.8 , False
L500224, C100607    , 2024-07-04    , merchant_advance, 165475.0  ,           1, 34.2             ,                 7.63, False
L500225, C109347    , 30/11/2024    , nano_loan       , 24015.0   ,           3, 20.8%            ,                 0.44, False
L500226, C114337    , 2025-02-18    , nano_loan       , 15561.0   ,           3, 35.6             ,                 0.64, False
L500227, C114931    , 2025-03-17    , nano_loan       , 18238.0   ,           3, 29.9             ,                 0.7 , False
L500228, C112946    , 2024-09-09    , nano_loan       , 9995.0    ,           3, 30.5             ,                 0.29, False
L500229, C101120    , 2025-05-02    , nano_loan       , 13206.0   ,           1, 19.0             ,                 0.23, False
L500230, C101563    , 2025-05-13    , nano_loan       , 23523.0   ,           3, 21.8%            ,                 0.59, False
L500231, C106620    , 2024-11-24    , emergency       , 14597.0   ,           1, 22.2             ,                 0.31, False
L500232, C110894    , 2025-04-29    , nano_loan       , 22950.0   ,           3, 32.2%            ,                 0.52, False
L500233, C101580    , 2025-01-23    , nano_loan       , 14319.0   ,           1, 24.3%            ,                 0.32, False
L500234, C114762    , 2024-12-30    , emergency       , 43800.0   ,          12, 18.2             ,                 1.96, False
L500235, C114219    , 2025-04-27    , merchant_advance, 238905.0  ,          12, 32.0             ,                 5.73, True
L500236, C114401    , 2024-12-30    , emergency       , 22114.0   ,           3, 22.3             ,                 0.85, False
L500237, C113171    , 2024-08-21    , nano_loan       , 8749.0    ,           1, 33.2             ,                 0.13, False
L500238, C103200    , 2025-04-28    , nano_loan       , 4146.0    ,           3, 31.6%            ,                 0.04, False
L500239, C110269    , 2024-10-19    , nano_loan       , 17783.0   ,           6, 32.9             ,                 0.53, False
L500240, C107574    , 2024-10-01    , nano_loan       , 17291.0   ,           6, 19.8%            ,                 0.15, False
L500241, C104364    , 2024-11-16    , nano_loan       , 20570.0   ,           3, 21.3             ,                 0.73, False
L500242, C112295    , 2025-02-05    , device_finance  , 45083.0   ,          12, 28.3%            ,                 1.0 , False
L500243, C103097    , 2024-11-27    , device_finance  , 80646.0   ,           6, 32.7%            ,                 0.77, False
L500244, C108724    , 2024-08-31    , nano_loan       , 10595.0   ,           6, 23.4%            ,                 0.29, False
L500245, C112110    , 2024-11-13    , device_finance  , 85118.0   ,           3, 26.5%            ,                 1.69, False
L500246, C114110    , 2024-08-21    , nano_loan       , 16907.0   ,           3, 19.0             ,                 0.3 , False
L500247, C101523    , 2024-07-08    , nano_loan       , 12138.0   ,           6, 21.2             ,                 1.44, False
L500248, C102029    , 2025-04-21    , nano_loan       , 4837.0    ,           6, 18.0             ,                 0.27, False
L500249, C107996    , 2024-11-24    , nano_loan       , 6538.0    ,           1, 29.6             ,                 0.29, False
L500250, C110544    , 2024-12-17    , merchant_advance, 384128.0  ,           1, 29.9%            ,                16.28, True
L500251, C114014    , 03/08/2024    , merchant_advance, 393665.0  ,           1, 31.3             ,                11.75, True
L500252, C108158    , 2024-12-06    , device_finance  , 107172.0  ,           3, 26.2%            ,                 5.36, True
L500253, C109750    , 2025-02-17    , nano_loan       , 5396.0    ,           6, 25.0%            ,                 0.22, False
L500254, C101995    , 2024-11-18    , nano_loan       , 20734.0   ,           6, 33.3             ,                 0.5 , False
L500255, C113117    , 2024-12-18    , nano_loan       , 21420.0   ,           6, 27.2             ,                 1.93, False
L500256, C103675    , 18/10/2024    , device_finance  , 54282.0   ,           1, 32.0             ,                 1.13, False
L500257, C107640    , 2025-03-17    , merchant_advance, 355262.0  ,           6, 27.8             ,                 7.25, False
L500258, C107865    , 26/10/2024    , nano_loan       , 4393.0    ,           3, 31.1             ,                 0.2 , False
L500259, C112821    , 2024-10-18    , nano_loan       , 8608.0    ,          12, 33.9             ,                 0.37, False
L500260, C103771    , 2024-09-16    , emergency       , 12474.0   ,           1, 35.9             ,                 0.33, False
L500261, C106607    , 2024-07-16    , nano_loan       , 4835.0    ,           1, 30.1             ,                 0.46, False
L500262, C112702    , 2025-03-12    , nano_loan       , 8011.0    ,           1, 25.3             ,                 0.15, False
L500263, C104119    , 2024-12-13    , merchant_advance, 336627.0  ,           3, 35.9             ,                11.41, True
L500264, C113169    , 2025-04-11    , nano_loan       , 4863.0    ,           6, 26.6             ,                 0.04, False
L500265, C106776    , 2024-07-08    , merchant_advance, 347279.0  ,           3, 26.4             ,                10.56, True
L500266, C113859    , 2024-12-13    , nano_loan       , 14036.0   ,          12, 31.7%            ,                 1.24, False
L500267, C111791    , 2025-05-08    , nano_loan       , 6435.0    ,           1, 24.8             ,                 0.08, False
L500268, C113593    , 2025-03-05    , nano_loan       , 4679.0    ,           6, 22.5             ,                 0.17, False
L500269, C111476    , 07/04/2025    , nano_loan       , 23155.0   ,           6, 35.5             ,                 2.18, False
L500270, C107543    , 2025-03-09    , merchant_advance, 39351.0   ,           1, 33.9%            ,                 1.59, False
L500271, C112961    , 2024-12-04    , device_finance  , 55021.0   ,           6, 21.0             ,                 2.54, False
